,feature,importance,model,day_split,seed,lookback_days,lookforward_days_freezing,lookforward_days_predict
0,rcp3_max,0.019047619047619015,weather_patient_active,0.7,0,5,2,4
28,daily_limit_activity_skew,0.017063492063492024,weather_patient_active,0.7,0,5,2,4
5,rcp3_gradient,0.016269841269841222,weather_patient_active,0.7,0,5,2,4
20,daily_night_symp_skew,0.013492063492063444,weather_patient_active,0.7,0,5,2,4
19,daily_night_symp_range,0.012698412698412653,weather_patient_active,0.7,0,5,2,4
2,rcp3_mean,0.01031746031746028,weather_patient_active,0.7,0,5,2,4
4,rcp3_skew,0.01031746031746027,weather_patient_active,0.7,0,5,2,4
24,daily_limit_activity_max,0.007936507936507908,weather_patient_active,0.7,0,5,2,4
32,daily_prev_inhaler_max,0.006746031746031722,weather_patient_active,0.7,0,5,2,4
29,daily_limit_activity_gradient,0.00595238095238092,weather_patient_active,0.7,0,5,2,4
23,daily_night_symp_latest,0.005555555555555536,weather_patient_active,0.7,0,5,2,4
21,daily_night_symp_gradient,0.005555555555555536,weather_patient_active,0.7,0,5,2,4
6,rcp3_median,0.005158730158730129,weather_patient_active,0.7,0,5,2,4
34,daily_prev_inhaler_mean,0.0031746031746031633,weather_patient_active,0.7,0,5,2,4
37,daily_prev_inhaler_gradient,0.0023809523809523612,weather_patient_active,0.7,0,5,2,4
13,daily_day_symp_gradient,0.0011904761904761752,weather_patient_active,0.7,0,5,2,4
1,rcp3_min,0.0011904761904761641,weather_patient_active,0.7,0,5,2,4
35,daily_prev_inhaler_range,0.0007936507936507908,weather_patient_active,0.7,0,5,2,4
16,daily_night_symp_max,0.0,weather_patient_active,0.7,0,5,2,4
17,daily_night_symp_min,0.0,weather_patient_active,0.7,0,5,2,4
36,daily_prev_inhaler_skew,0.0,weather_patient_active,0.7,0,5,2,4
9,daily_day_symp_min,0.0,weather_patient_active,0.7,0,5,2,4
31,daily_limit_activity_latest,0.0,weather_patient_active,0.7,0,5,2,4
30,daily_limit_activity_median,0.0,weather_patient_active,0.7,0,5,2,4
11,daily_day_symp_range,0.0,weather_patient_active,0.7,0,5,2,4
27,daily_limit_activity_range,0.0,weather_patient_active,0.7,0,5,2,4
25,daily_limit_activity_min,0.0,weather_patient_active,0.7,0,5,2,4
8,daily_day_symp_max,0.0,weather_patient_active,0.7,0,5,2,4
22,daily_night_symp_median,0.0,weather_patient_active,0.7,0,5,2,4
14,daily_day_symp_median,0.0,weather_patient_active,0.7,0,5,2,4
15,daily_day_symp_latest,0.0,weather_patient_active,0.7,0,5,2,4
39,daily_prev_inhaler_latest,0.0,weather_patient_active,0.7,0,5,2,4
38,daily_prev_inhaler_median,-0.0003968253968253954,weather_patient_active,0.7,0,5,2,4
33,daily_prev_inhaler_min,-0.00039682539682540653,weather_patient_active,0.7,0,5,2,4
10,daily_day_symp_mean,-0.0019841269841270105,weather_patient_active,0.7,0,5,2,4
12,daily_day_symp_skew,-0.002777777777777812,weather_patient_active,0.7,0,5,2,4
3,rcp3_range,-0.005952380952381009,weather_patient_active,0.7,0,5,2,4
45,temperature_min_range,0.037073170731707274,nonweather_patient_passive,0.7,0,5,2,4
42,temperature_min_max,0.03463414634146335,nonweather_patient_passive,0.7,0,5,2,4
44,temperature_min_mean,0.02195121951219514,nonweather_patient_passive,0.7,0,5,2,4
62,wind_speed_skew,0.018536585365853675,nonweather_patient_passive,0.7,0,5,2,4
29,temperature_range,0.014146341463414647,nonweather_patient_passive,0.7,0,5,2,4
56,humidity_median,0.014146341463414647,nonweather_patient_passive,0.7,0,5,2,4
20,weed_pollen_skew,0.014146341463414647,nonweather_patient_passive,0.7,0,5,2,4
